时间,电流,极化,电流,极化
0.000000e+000,1.750705e-001,0.000000e+000,1.483846e-006,1.159255e-001
0.000000e+000,2.060021e-001,0.000000e+000,1.380197e-006,1.078279e-001
0.000000e+000,1.777669e-001,0.000000e+000,1.362060e-006,1.064109e-001
0.000000e+000,1.871851e-001,0.000000e+000,1.365704e-006,1.066956e-001
0.000000e+000,2.000700e-001,0.000000e+000,1.338611e-006,1.045790e-001
0.000000e+000,2.159211e-001,0.000000e+000,1.325339e-006,1.035421e-001
0.000000e+000,1.859139e-001,0.000000e+000,1.349510e-006,1.054305e-001
0.000000e+000,1.882829e-001,0.000000e+000,1.334496e-006,1.042575e-001
0.000000e+000,1.960832e-001,0.000000e+000,1.334974e-006,1.042949e-001
0.000000e+000,1.987989e-001,0.000000e+000,1.313691e-006,1.026321e-001
0.000000e+000,1.929438e-001,0.000000e+000,1.330051e-006,1.039103e-001
0.000000e+000,1.982981e-001,0.000000e+000,1.327844e-006,1.037378e-001
0.000000e+000,1.873584e-001,0.000000e+000,1.319736e-006,1.031043e-001
0.000000e+000,2.093919e-001,0.000000e+000,1.307195e-006,1.021246e-001
0.000000e+000,1.734526e-001,0.000000e+000,1.315972e-006,1.028103e-001
0.000000e+000,1.954091e-001,0.000000e+000,1.321801e-006,1.032657e-001
0.000000e+000,2.043843e-001,0.000000e+000,1.299870e-006,1.015523e-001
0.000000e+000,2.082941e-001,0.000000e+000,1.313112e-006,1.025869e-001
0.000000e+000,1.859909e-001,0.000000e+000,1.306892e-006,1.021009e-001
0.000000e+000,1.821775e-001,0.000000e+000,1.305256e-006,1.019732e-001
0.000000e+000,1.902282e-001,0.000000e+000,1.308582e-006,1.022330e-001
0.000000e+000,1.931172e-001,0.000000e+000,1.329977e-006,1.039044e-001
0.000000e+000,1.981055e-001,0.000000e+000,1.297851e-006,1.013946e-001
0.000000e+000,1.918460e-001,0.000000e+000,1.306350e-006,1.020586e-001
0.000000e+000,1.982018e-001,0.000000e+000,1.305422e-006,1.019861e-001
0.000000e+000,2.013412e-001,0.000000e+000,1.306752e-006,1.020900e-001
0.000000e+000,1.920193e-001,0.000000e+000,1.295914e-006,1.012433e-001
0.000000e+000,1.715074e-001,0.000000e+000,1.317997e-006,1.029685e-001
0.000000e+000,1.916727e-001,0.000000e+000,1.309918e-006,1.023373e-001
0.000000e+000,2.117609e-001,0.000000e+000,1.298123e-006,1.014158e-001
0.000000e+000,1.717578e-001,0.000000e+000,1.309468e-006,1.023022e-001
0.000000e+000,2.054821e-001,0.000000e+000,1.302039e-006,1.017218e-001
0.000000e+000,2.004938e-001,0.000000e+000,1.298352e-006,1.014337e-001
0.000000e+000,2.179626e-001,0.000000e+000,1.299133e-006,1.014948e-001
0.000000e+000,1.960832e-001,0.000000e+000,1.290971e-006,1.008571e-001
0.000000e+000,1.882059e-001,0.000000e+000,1.307407e-006,1.021412e-001
0.000000e+000,1.844694e-001,0.000000e+000,1.290074e-006,1.007870e-001
0.000000e+000,1.914223e-001,0.000000e+000,1.308249e-006,1.022069e-001
0.000000e+000,1.895541e-001,0.000000e+000,1.323144e-006,1.033706e-001
0.000000e+000,1.809063e-001,0.000000e+000,1.326005e-006,1.035941e-001
0.000000e+000,1.915956e-001,0.000000e+000,1.323304e-006,1.033832e-001
0.000000e+000,2.021887e-001,0.000000e+000,1.339541e-006,1.046517e-001
0.000000e+000,1.859139e-001,0.000000e+000,1.342978e-006,1.049201e-001
0.000000e+000,1.770158e-001,0.000000e+000,1.365052e-006,1.066447e-001
0.000000e+000,1.826975e-001,0.000000e+000,1.391790e-006,1.087336e-001
0.000000e+000,2.076970e-001,0.000000e+000,1.370778e-006,1.070920e-001
0.000000e+000,2.322729e-001,0.000000e+000,1.384850e-006,1.081914e-001
0.000000e+000,1.884562e-001,0.000000e+000,1.375497e-006,1.074607e-001
0.000000e+000,2.148233e-001,0.000000e+000,1.393400e-006,1.088594e-001
0.000000e+000,2.029398e-001,0.000000e+000,1.382977e-006,1.080451e-001
0.000000e+000,2.035369e-001,0.000000e+000,1.408368e-006,1.100288e-001
0.000000e+000,1.854902e-001,0.000000e+000,1.385717e-006,1.082591e-001
0.000000e+000,1.956595e-001,0.000000e+000,1.399402e-006,1.093283e-001
0.000000e+000,1.882829e-001,0.000000e+000,1.413742e-006,1.104486e-001
0.000000e+000,1.925201e-001,0.000000e+000,1.412340e-006,1.103390e-001
0.000000e+000,1.662494e-001,0.000000e+000,1.410162e-006,1.101689e-001
0.000000e+000,1.934638e-001,0.000000e+000,1.400159e-006,1.093874e-001
0.000000e+000,2.000700e-001,0.000000e+000,1.418883e-006,1.108502e-001
0.000000e+000,2.028628e-001,0.000000e+000,1.413928e-006,1.104632e-001
0.000000e+000,1.857213e-001,0.000000e+000,1.435244e-006,1.121285e-001
